City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,6.8,90,0,0.0,GB,1746586277
1,tiksi,71.6872,128.8694,-3.81,84,100,2.45,RU,1746586279
2,yellowknife,62.456,-114.3525,6.29,42,75,6.71,CA,1746585987
3,ribeira grande,38.5167,-28.7,15.43,90,94,0.89,PT,1746586281
4,adamstown,-25.066,-130.1015,24.76,77,4,4.24,PN,1746586282
5,ust-nera,64.5667,143.2,2.36,76,95,2.21,RU,1746586283
6,chibougamau,49.9168,-74.3659,11.79,100,100,1.54,CA,1746586284
7,qaqortoq,60.7167,-46.0333,-1.64,90,99,1.22,GL,1746586285
8,kudahuvadhoo,2.6708,72.8944,26.26,74,100,7.15,MV,1746586286
9,itaituba,-4.2761,-55.9836,24.17,95,99,0.46,BR,1746586287
10,albany,42.6001,-73.9662,15.47,93,94,0.45,US,1746586121
11,waitangi,-43.9535,-176.5597,14.53,85,100,9.13,NZ,1746586289
12,la ronge,55.1001,-105.2842,13.12,32,20,3.09,CA,1746586290
13,jamestown,42.097,-79.2353,12.8,80,75,1.54,US,1746586159
14,ilulissat,69.2167,-51.1,-1.99,86,100,2.06,GL,1746586292
15,utrik,11.2278,169.8474,27.37,81,98,8.26,MH,1746586293
16,wailua homesteads,22.0669,-159.378,25.44,89,100,7.2,US,1746586294
17,punta arenas,-53.15,-70.9167,4.06,87,100,10.29,CL,1746586013
18,bredasdorp,-34.5322,20.0403,14.4,93,93,0.16,ZA,1746586296
19,kalemie,-5.9475,29.1947,21.11,85,13,1.77,CD,1746586297
20,port-aux-francais,-49.35,70.2167,4.27,75,90,4.29,TF,1746586300
21,vilyuchinsk,52.9306,158.4028,9.15,80,100,7.23,RU,1746586301
22,guerrero negro,27.9769,-114.0611,16.17,81,0,5.08,MX,1746586219
23,kavieng,-2.5744,150.7967,28.09,74,100,4.01,PG,1746586303
24,hawkinsville,32.2838,-83.4721,18.94,68,45,1.6,US,1746586305
25,thung song,8.1645,99.6804,29.17,80,100,3.37,TH,1746586306
26,mossel bay,-34.1831,22.146,12.96,88,40,1.64,ZA,1746586307
27,ishigaki,24.3448,124.1572,25.07,73,75,7.72,JP,1746586308
28,talnakh,69.4865,88.3972,0.64,100,100,1.81,RU,1746586309
29,iqaluit,63.7506,-68.5145,-12.15,67,75,7.2,CA,1746586310
30,asosa,10.0667,34.5333,19.21,23,66,1.88,ET,1746586312
31,port mathurin,-19.6833,63.4167,26.44,80,17,6.45,MU,1746586313
32,howard springs,-12.497,131.047,31.1,67,18,5.05,AU,1746586314
33,'ain el melh,34.8415,4.1638,15.48,53,96,1.78,DZ,1746586315
34,zhigalovo,54.8097,105.1578,12.11,29,54,2.47,RU,1746586316
35,barakani,-12.1356,44.4317,27.1,76,72,3.39,KM,1746586317
36,margaret river,-33.95,115.0667,19.05,47,1,3.25,AU,1746586318
37,st. john's,47.5649,-52.7093,7.31,61,0,13.89,CA,1746586054
38,invercargill,-46.4,168.35,18.34,65,74,4.92,NZ,1746586242
39,jacksonville,30.3322,-81.6556,24.46,87,20,3.6,US,1746586321
40,kirakira,-10.4544,161.9205,27.23,86,100,2.81,SB,1746586322
41,soio,-6.1349,12.3689,25.75,86,100,2.27,AO,1746586323
42,boa vista,2.8197,-60.6733,25.99,89,40,2.06,BR,1746586214
43,puerto natales,-51.7236,-72.4875,3.37,98,100,1.52,CL,1746586325
44,bardai,11.65,7.2333,25.56,13,5,2.52,NG,1746586326
45,bethel,41.3712,-73.414,15.36,91,74,0.45,US,1746586327
46,ushuaia,-54.8,-68.3,2.81,75,100,6.17,AR,1746586261
47,okha,53.5739,142.9478,4.12,72,52,3.9,RU,1746586054
48,kodiak,57.79,-152.4072,5.73,87,100,5.14,US,1746586330
49,grytviken,-54.2811,-36.5092,0.45,83,36,4.24,GS,1746586331
50,constantia,44.1833,28.65,12.61,93,96,1.19,RO,1746586332
51,west island,-12.1568,96.8225,29.99,79,20,7.2,CC,1746586334
52,siwa oasis,29.2041,25.5195,23.75,21,51,1.63,EG,1746586336
53,nar'yan-mar,67.6713,53.087,0.34,100,100,1.11,RU,1746586337
54,kuloy,61.0305,42.4925,1.52,74,10,0.96,RU,1746586338
55,queenstown,-31.8976,26.8753,12.53,59,0,2.66,ZA,1746586339
56,baker city,44.7749,-117.8344,17.84,34,0,4.63,US,1746586280
57,patterson,37.4716,-121.1297,27.97,58,0,3.03,US,1746586342
58,conde,-7.2597,-34.9075,24.7,88,20,0.0,BR,1746586343
59,bilibino,68.0546,166.4372,-0.04,79,60,0.87,RU,1746586344
60,port alfred,-33.5906,26.891,16.77,99,34,2.08,ZA,1746586345
61,sao joao da barra,-21.6403,-41.0511,22.6,85,11,3.45,BR,1746586346
62,kingston,17.997,-76.7936,26.53,83,20,2.57,JM,1746586042
63,namsos,64.4662,11.4957,2.95,93,100,0.0,NO,1746586348
64,kurumkan,54.3,110.3,11.58,39,19,1.67,RU,1746586350
65,esmeraldas,-19.7625,-44.3139,19.39,77,98,1.96,BR,1746586351
66,odda,60.0691,6.5457,2.26,80,57,2.3,NO,1746586352
67,geraldton,-28.7667,114.6,28.23,28,2,10.29,AU,1746586353
68,kone,-21.0595,164.8658,27.3,69,100,2.61,NC,1746586355
69,whitehorse,60.7161,-135.0538,8.43,29,75,7.6,CA,1746586356
70,extrema,-22.8547,-46.3183,16.48,78,39,1.97,BR,1746586357
71,hamilton,39.1834,-84.5333,15.91,81,0,3.09,US,1746585837
72,kerikeri,-35.2268,173.9474,18.39,65,20,3.02,NZ,1746586359
73,big stone gap,36.8677,-82.7745,13.41,92,1,1.34,US,1746586360
74,blackmans bay,-43.0167,147.3167,11.07,65,47,6.79,AU,1746586361
75,cidreira,-30.1811,-50.2056,20.35,91,27,7.58,BR,1746586201
76,balabac,7.9868,117.0645,30.92,64,60,1.47,PH,1746586363
77,urangan,-25.3,152.9,23.47,56,0,7.11,AU,1746586364
78,vorkuta,67.5,64.0,0.28,100,100,2.19,RU,1746586366
79,woolgoolga,-30.1106,153.2007,26.13,66,2,3.39,AU,1746586367
80,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,40,40,8.0,RU,1746586368
81,pisco,-13.7,-76.2167,19.03,77,0,3.6,PE,1746586137
82,porto novo,6.4965,2.6036,28.9,84,38,2.45,BJ,1746586370
83,iskateley,67.6803,53.1512,0.32,100,100,1.14,RU,1746586371
84,mili,6.0815,171.735,27.75,82,100,9.12,MH,1746586372
85,tukrah,32.5341,20.5791,27.49,16,99,9.66,LY,1746586373
86,margate,51.3813,1.3862,9.93,73,98,5.95,GB,1746586374
87,imbituba,-28.24,-48.6703,22.51,90,100,4.73,BR,1746586375
88,vila franca do campo,37.7167,-25.4333,13.23,90,67,1.25,PT,1746586376
89,hithadhoo,-0.6,73.0833,28.38,75,100,9.31,MV,1746586377
90,edinburgh of the seven seas,-37.0676,-12.3116,14.98,75,67,12.01,SH,1746586378
91,puerto ayora,-0.7393,-90.3518,24.19,98,5,1.55,EC,1746586355
92,port lincoln,-34.7333,135.8667,16.8,63,99,8.41,AU,1746586380
93,udachny,66.4167,112.4,-3.17,64,66,0.52,RU,1746586381
94,keflavik,64.0049,-22.5624,9.24,100,100,12.35,IS,1746586382
95,weno,7.4515,151.8468,30.97,66,100,4.12,FM,1746586383
96,pitimbu,-7.4706,-34.8086,25.36,79,18,4.65,BR,1746586384
97,hawaiian paradise park,19.5933,-154.9731,25.96,76,100,4.63,US,1746586385
98,hobyo,5.3505,48.5268,29.61,70,97,7.24,SO,1746586386
99,macae,-22.3708,-41.7869,22.86,88,75,2.06,BR,1746586262
100,isafjordur,66.0755,-23.124,6.53,94,96,5.79,IS,1746586389
101,fisterra,42.9049,-9.2629,11.81,73,0,6.86,ES,1746586390
102,sayat,38.7839,63.8803,32.39,10,35,2.33,TM,1746586391
103,al ghayzah,16.2079,52.176,27.7,84,5,3.68,YE,1746586392
104,chela,34.069,104.4619,15.22,54,67,2.52,CN,1746586393
105,haiku-pauwela,20.9219,-156.3051,25.12,81,13,12.52,US,1746586394
106,olonkinbyen,70.9221,-8.7187,-0.05,95,100,7.68,SJ,1746586395
107,hilo,19.7297,-155.09,24.85,72,100,4.63,US,1746586396
108,revda,56.801,59.9303,7.58,82,53,4.08,RU,1746586397
109,dhidhdhoo,6.8833,73.1,29.83,72,100,8.11,MV,1746586398
110,oamaru,-45.0784,170.9801,17.99,63,0,4.9,NZ,1746586399
111,lebu,-37.6167,-73.65,11.1,87,23,1.56,CL,1746586400
112,longyearbyen,78.2186,15.6401,-7.09,79,20,3.6,SJ,1746586401
113,tual,-5.6667,132.75,28.52,73,93,3.26,ID,1746586402
114,georgetown,5.4112,100.3354,30.96,70,20,3.6,MY,1746586010
115,jayapura,-2.5333,140.7,24.43,88,99,1.97,ID,1746586204
116,baharly,38.4362,57.4316,22.27,49,89,3.8,TM,1746586405
117,gosaba,22.165,88.7998,33.15,49,0,2.45,IN,1746586406
118,thompson,55.7435,-97.8558,3.09,41,20,1.54,CA,1746586407
119,hadibu,12.65,54.0333,28.85,77,12,2.07,YE,1746586408
120,mhamid,29.82,-5.72,23.75,16,100,8.12,MA,1746586409
121,aral,40.5156,81.2636,24.89,14,15,2.66,CN,1746586410
122,north bay,46.3168,-79.4663,15.01,94,75,2.06,CA,1746585992
123,east london,-33.0153,27.9116,18.33,86,0,1.68,ZA,1746586413
124,presque isle,46.6811,-68.0159,13.24,90,100,5.14,US,1746586414
125,hakui,36.8833,136.7833,14.56,58,0,4.54,JP,1746586415
126,mount pearl,47.5166,-52.7813,6.85,60,0,13.89,CA,1746586416
127,karatas,36.582,35.3701,16.95,86,4,1.04,TR,1746586417
128,troitsko-pechorsk,62.7084,56.1964,1.97,80,100,6.14,RU,1746586418
129,harnai,30.1005,67.9374,26.38,39,0,0.74,PK,1746586419
130,carrigaline,51.8117,-8.3986,9.86,81,75,3.13,IE,1746586420
131,new norfolk,-42.7826,147.0587,10.29,71,73,5.18,AU,1746586421
132,colares,38.7992,-9.4469,14.63,81,90,1.69,PT,1746586422
133,rifle,39.5347,-107.7831,15.33,47,40,6.17,US,1746586411
134,arawa,-6.2132,155.5367,29.4,78,77,1.87,PG,1746586424
135,berkovitsa,43.2361,23.1258,11.01,88,19,2.37,BG,1746586425
136,vytegra,61.0064,36.4481,2.32,93,100,2.29,RU,1746586426
137,senillosa,-39.0,-68.4167,11.88,44,91,6.52,AR,1746586427
138,polyarnyy,69.1989,33.4478,0.93,99,100,8.53,RU,1746586428
139,hermanus,-34.4187,19.2345,16.0,84,97,2.0,ZA,1746586429
140,la passe,45.5549,-0.8967,8.69,80,22,4.4,FR,1746586431
141,amboasary,-25.0333,46.3833,16.28,79,1,1.66,MG,1746586432
142,mount isa,-20.7333,139.5,26.87,44,40,5.14,AU,1746586433
143,lihue,21.9789,-159.3672,25.77,69,100,7.2,US,1746586434
144,las palmas,28.4204,-14.0131,16.44,72,0,2.57,ES,1746586435
145,naze,28.3667,129.4833,21.51,64,100,0.79,JP,1746586436
146,bria,6.5423,21.9863,20.84,81,76,0.32,CF,1746586437
147,al mijlad,11.0333,27.7333,23.5,12,85,5.28,SD,1746586438
148,baixa grande,-11.9597,-40.1681,18.55,96,23,0.95,BR,1746586439
149,aasiaat,68.7098,-52.8699,-4.74,88,100,2.75,GL,1746586440
150,chinde,26.8212,87.7095,26.46,61,1,2.0,NP,1746586441
151,hwange,-18.3693,26.5019,13.02,65,0,1.0,ZW,1746586175
152,hayrabolu,41.2131,27.1069,14.45,87,100,1.41,TR,1746586443
153,mandera,3.9366,41.867,24.53,80,79,5.84,KE,1746586444
154,greymouth,-42.4667,171.2,15.38,68,51,2.9,NZ,1746586445
155,anadyr,64.75,177.4833,-2.72,73,20,3.0,RU,1746586446
156,college,64.8569,-147.8028,7.99,56,100,5.66,US,1746586448
157,karratha,-20.7377,116.8463,32.0,19,17,8.33,AU,1746586449
158,kailua-kona,19.6406,-155.9956,25.71,91,42,2.99,US,1746586451
159,rikaze,29.25,88.8833,8.79,54,100,2.04,CN,1746586452
160,lorengau,-2.0226,147.2712,26.13,88,100,6.55,PG,1746586453
161,vernon,50.2581,-119.2691,21.74,30,100,0.89,CA,1746586454
162,barcelos,41.5388,-8.6151,10.57,67,68,3.15,PT,1746586455
163,kupwara,34.0306,74.2642,9.77,70,9,0.62,IN,1746586456
164,changping,40.2186,116.2197,19.75,39,17,1.97,CN,1746586391
165,enewetak,11.3474,162.3373,27.86,77,61,8.07,MH,1746586458
166,cabo san lucas,22.8909,-109.9124,19.86,63,0,2.24,MX,1746586459
167,tazovsky,67.4667,78.7,0.8,99,100,8.85,RU,1746586460
168,perryton,36.4,-100.8027,10.96,100,100,3.09,US,1746586461
169,port augusta,-32.5,137.7667,22.29,43,100,5.09,AU,1746586462
170,luderitz,-26.6481,15.1594,20.57,52,0,1.66,NA,1746586463
171,saudarkrokur,65.7461,-19.6394,11.0,79,93,8.55,IS,1746586464
172,jwaneng,-24.6004,24.7303,11.73,54,0,1.8,BW,1746586465
173,praia da vitoria,38.7333,-27.0667,15.14,88,20,2.9,PT,1746586466
174,remire-montjoly,4.9167,-52.2667,24.02,100,75,1.54,GF,1746586306
175,'ain deheb,34.8422,1.547,14.08,58,100,3.54,DZ,1746586468
176,mount gambier,-37.8333,140.7667,14.69,55,95,6.18,AU,1746586469
177,kirakat,25.6333,82.9167,33.96,29,4,3.39,IN,1746586471
178,mahibadhoo,3.7833,72.9667,27.4,80,100,10.22,MV,1746586472
179,novodvinsk,64.4165,40.8122,0.86,90,100,4.14,RU,1746586473
180,moreira sales,-24.0622,-53.0069,20.55,66,66,2.32,BR,1746586474
181,essaouira,31.5125,-9.77,14.72,94,1,0.51,MA,1746586475
182,cannonvale,-20.2833,148.7,25.66,76,23,8.35,AU,1746586476
183,papatowai,-46.5619,169.4708,18.58,56,56,3.66,NZ,1746586477
184,carnarvon,-24.8667,113.6333,30.58,29,4,3.18,AU,1746586478
185,kalmunai,7.4167,81.8167,28.13,71,100,2.27,LK,1746586479
186,tshikapa,-6.4167,20.8,20.06,97,75,0.79,CD,1746586480
187,brokopondo,4.75,-55.1667,24.38,92,100,5.26,SR,1746586481
188,puerto deseado,-47.7503,-65.8938,10.21,46,51,9.23,AR,1746586482
189,taytay,14.5678,121.1394,33.86,62,20,2.57,PH,1746586383
190,akureyri,65.6835,-18.0878,12.96,62,100,9.77,IS,1746586484
191,hammerfest,70.6634,23.6821,0.25,69,40,6.69,NO,1746586485
192,quibala,-10.7337,14.98,14.92,93,92,1.74,AO,1746586486
193,wenshui,28.4506,106.5267,18.65,77,79,1.79,CN,1746586487
194,akrehamn,59.2667,5.1833,7.14,81,68,5.66,NO,1746586489
195,howrah,22.5892,88.3103,30.0,70,20,1.54,IN,1746586491
196,el nido,11.1858,119.3956,30.03,73,65,1.1,PH,1746586492
197,williams lake,52.1415,-122.1445,20.76,30,75,5.66,CA,1746586204
198,gizo,-8.103,156.8419,29.34,70,99,1.48,SB,1746586494
199,kadhan,24.481,68.9859,30.48,59,0,5.02,PK,1746586495
200,crockett,31.3182,-95.4566,19.99,100,100,2.57,US,1746586496
201,dudinka,69.4058,86.1778,-0.15,99,100,2.11,RU,1746586497
202,vilyuysk,63.7553,121.6247,5.58,71,100,3.36,RU,1746586498
203,pataias,39.6698,-8.9958,10.87,91,53,1.55,PT,1746586499
204,jilin,43.0,126.0,16.49,38,91,5.46,CN,1746586500
205,muisne,0.6,-80.0333,25.33,88,99,3.21,EC,1746586501
206,dalian,38.9122,121.6022,17.96,52,0,2.0,CN,1746586282
207,sabana yegua,18.7167,-71.0167,21.29,88,1,1.47,DO,1746586503
208,bartica,6.4,-58.6167,24.5,97,65,1.12,GY,1746586504
209,ipilan,8.8431,117.9033,30.3,69,100,2.42,PH,1746586505
210,awjilah,29.1081,21.2869,24.67,14,0,5.85,LY,1746586506
211,turkmenbasy,40.0222,52.9552,13.43,94,75,3.09,TM,1746586507
212,tazacorte,28.629,-17.9293,17.54,86,0,3.13,ES,1746586508
213,fuli,46.7217,131.1394,15.95,37,35,3.65,CN,1746586509
214,mejit,10.2753,170.8646,27.42,83,100,8.81,MH,1746586511
215,selfoss,63.9331,-20.9971,10.58,92,100,9.08,IS,1746586512
216,yuzhno-kurilsk,44.0306,145.8556,6.31,90,100,4.7,RU,1746586513
217,badger,64.8,-147.5333,8.14,64,100,5.66,US,1746586514
218,johnstown,40.3267,-78.922,11.84,90,100,2.57,US,1746586516
219,zacatlan,19.9333,-97.9667,17.91,54,49,3.73,MX,1746586517
220,sinabang,2.4803,96.3801,29.76,69,69,1.35,ID,1746586518
221,mawu,34.4307,104.9176,13.93,58,95,2.7,CN,1746586521
222,panaba,21.2833,-88.2667,27.81,72,20,6.6,MX,1746586522
223,okhotsk,59.3833,143.3,6.4,66,100,3.65,RU,1746586523
224,waspan,14.7419,-83.9717,25.1,87,100,1.62,NI,1746586524
225,tucuma,-0.1833,-50.05,24.57,94,81,2.5,BR,1746586525
226,igarka,67.4667,86.5833,1.52,94,100,3.28,RU,1746586269
227,afzalpur,17.2,76.35,30.79,36,0,2.54,IN,1746586527
228,vila velha,-20.3297,-40.2925,21.97,100,100,1.54,BR,1746586117
229,labrador city,52.9463,-66.9114,7.95,100,100,3.09,CA,1746586530
230,el alto,-4.2714,-81.2147,20.73,81,74,5.34,PE,1746586531
231,federacion,-31.0062,-57.8996,19.09,94,5,3.87,AR,1746586532
232,westport,41.1415,-73.3579,16.2,94,43,0.45,US,1746586533
233,tolanaro,-25.0319,46.9987,21.55,67,91,4.8,MG,1746586534
234,gamboma,-1.8764,15.8644,22.34,87,21,1.36,CG,1746586535
235,kodinsk,58.6881,99.1844,12.18,49,100,1.85,RU,1746586536
236,chonchi,-42.6128,-73.8092,7.84,86,100,3.37,CL,1746586537
237,el calafate,-50.3408,-72.2768,3.36,77,95,2.02,AR,1746586314
