City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,14.87,67,0,3.63,AU,1746630983
1,punta arenas,-53.15,-70.9167,3.06,75,100,4.63,CL,1746630984
2,port-aux-francais,-49.35,70.2167,4.41,92,100,2.56,TF,1746630986
3,padang,-0.9492,100.3543,26.52,90,56,1.11,ID,1746630988
4,thompson,55.7435,-97.8558,7.09,45,40,5.66,CA,1746630989
5,tangalle,6.024,80.7911,25.91,88,100,5.49,LK,1746630990
6,blackmans bay,-43.0167,147.3167,4.85,83,55,0.45,AU,1746630991
7,ushuaia,-54.8,-68.3,0.81,93,75,2.57,AR,1746630929
8,ilulissat,69.2167,-51.1,-0.99,86,100,4.63,GL,1746630993
9,mananjary,-21.2167,48.3333,22.67,79,100,1.53,MG,1746630994
10,adamstown,-25.066,-130.1015,24.47,77,2,5.97,PN,1746630995
11,dar chioukh,34.8964,3.4854,25.35,22,86,6.84,DZ,1746630996
12,waitangi,-43.9535,-176.5597,14.74,85,92,10.22,NZ,1746630997
13,bilibino,68.0546,166.4372,-15.03,88,34,2.54,RU,1746630998
14,invercargill,-46.4,168.35,14.45,79,100,3.13,NZ,1746630999
15,badger,64.8,-147.5333,3.32,73,75,2.06,US,1746631000
16,saipan,15.1355,145.701,27.58,82,20,5.66,MP,1746631002
17,cabedelo,-6.9811,-34.8339,31.37,61,18,5.28,BR,1746631003
18,edinburgh of the seven seas,-37.0676,-12.3116,15.57,82,34,7.44,SH,1746631004
19,whitehorse,60.7161,-135.0538,0.45,53,22,4.02,CA,1746630805
20,tidjikja,18.5564,-11.4271,39.13,13,23,6.37,MR,1746631006
21,atafu village,-8.5421,-172.5159,28.89,76,77,7.01,TK,1746631007
22,ust-nera,64.5667,143.2,-1.84,93,100,3.0,RU,1746631008
23,lihue,21.9789,-159.3672,22.77,88,100,9.26,US,1746631009
24,athlone,53.4333,-7.95,15.76,63,99,2.65,IE,1746631010
25,changyon,38.2508,125.0961,9.37,72,68,0.96,KP,1746631011
26,haiku-pauwela,20.9219,-156.3051,22.36,79,100,6.69,US,1746631012
27,isafjordur,66.0755,-23.124,10.02,46,20,11.32,IS,1746631013
28,bethel,41.3712,-73.414,20.25,65,0,4.12,US,1746631014
29,illapel,-31.6308,-71.1653,18.4,42,99,1.72,CL,1746631015
30,rikaze,29.25,88.8833,11.32,38,100,2.14,CN,1746631016
